cluster_id	representative	plddt_mean	length	n_members	mmseqs_rep	selected_by	members
CLS007484	Q80ZX8	73.04	901	1	Q80ZX8	plddt_then_length	Q80ZX8
CLS007485	Q810A1	56.72	556	1	Q810A1	plddt_then_length	Q810A1
CLS007486	Q810A7	66.66	929	2	Q810A7	plddt_then_length	Q5R7D1;Q810A7
CLS007487	Q810B7	65.48	957	1	Q810B7	plddt_then_length	Q810B7
CLS007488	Q810C1	76.38	696	1	Q810C1	plddt_then_length	Q810C1
CLS007489	Q810H6	63.02	846	2	Q810H6	plddt_then_length	Q810H6;Q811T9
CLS007490	Q810T2	43.79	1396	1	Q810T2	plddt_then_length	Q810T2
CLS007491	Q810U3	75.08	1240	1	Q810U3	plddt_then_length	Q810U3
CLS007492	Q92823	78.55	1304	2	Q810U4	plddt_then_length	Q810U4;Q92823
CLS007493	Q810W9	58.24	920	1	Q810W9	plddt_then_length	Q810W9
CLS007494	Q1EHB3	66.00	1595	3	Q811B3	plddt_then_length	Q1EHB3;Q68SA9;Q811B3
CLS007495	Q811D2	63.54	1581	1	Q811D2	plddt_then_length	Q811D2
CLS007496	Q62751	87.05	963	2	Q811J3	plddt_then_length	Q62751;Q811J3
CLS007497	Q8VHJ7	50.07	1014	2	Q811R2	plddt_then_length	Q811R2;Q8VHJ7
CLS007498	Q811U4	81.84	741	1	Q811U4	plddt_then_length	Q811U4
CLS007499	Q9TTK6	93.89	763	2	Q812C9	plddt_then_length	Q812C9;Q9TTK6
CLS007500	Q8MJG1	63.58	530	2	Q812D1	plddt_then_length	Q812D1;Q8MJG1
CLS007501	Q812E0	64.19	521	3	Q812E0	plddt_then_length	Q7SXN4;Q7Z5Q1;Q812E0
CLS007502	Q812F3	86.69	526	1	Q812F3	plddt_then_length	Q812F3
CLS007503	Q813X6	64.45	545	1	Q813X6	plddt_then_length	Q813X6
CLS007504	Q819H7	95.29	762	3	Q819H7	plddt_then_length	Q635S6;Q731W2;Q819H7
CLS007505	Q81A26	78.04	647	2	Q81A26	plddt_then_length	Q732V8;Q81A26
CLS007506	Q81BF4	88.72	1065	1	Q81BF4	plddt_then_length	Q81BF4
CLS007507	Q81I00	87.44	509	1	Q81I00	plddt_then_length	Q81I00
CLS007508	Q81K31	78.39	549	1	Q81K31	plddt_then_length	Q81K31
CLS007509	Q81L31	94.13	806	2	Q81L31	plddt_then_length	Q633N5;Q81L31
CLS007510	Q81L64	87.47	678	1	Q81L64	plddt_then_length	Q81L64
CLS007511	Q639F7	89.70	874	2	Q81NL0	plddt_then_length	Q639F7;Q81NL0
CLS007512	Q81QL7	87.37	743	1	Q81QL7	plddt_then_length	Q81QL7
CLS007513	Q83WS0	97.62	557	49	Q81RE1	plddt_then_length	Q189R2;Q18JB5;Q1GA94;Q1J9F2;Q1JBM0;Q1JEK4;Q1JGN8;Q1MDG4;Q1WTW0;Q24ZZ8;Q28TR4;Q2YTF6;Q38X32;Q3A9K2;Q3J047;Q4FL49;Q4L776;Q5FIU5;Q5FJY2;Q5HF42;Q5LD60;Q5LNV0;Q5M083;Q5M4U2;Q5NQC7;Q5V5Y2;Q5XZD9;Q605Q9;Q6HJK9;Q71YD9;Q7VLW6;Q81RE1;Q83WS0;Q88W76;Q891R3;Q8DPL5;Q8NW37;Q8NZ49;Q8RHF4;Q8XHL4;Q8Y624;Q92AD2;Q92N42;Q97EB3;Q97QI2;Q99ZI9;Q9JVY8;Q9JXY2;Q9X287
CLS007514	Q81RQ8	96.18	612	1	Q81RQ8	plddt_then_length	Q81RQ8
CLS007515	Q81TR2	85.84	514	1	Q81TR2	plddt_then_length	Q81TR2
CLS007516	Q63FC2	90.84	788	2	Q81UI7	plddt_then_length	Q63FC2;Q81UI7
CLS007517	Q8Y8N0	81.69	520	4	Q81VG0	plddt_then_length	Q63GX5;Q6HPE6;Q81VG0;Q8Y8N0
CLS007518	Q81IH1	92.25	729	3	Q81Z97	plddt_then_length	Q73E74;Q81IH1;Q81Z97
CLS007519	Q820M5	92.79	794	1	Q820M5	plddt_then_length	Q820M5
CLS007520	Q820Y9	91.96	735	4	Q820Y9	plddt_then_length	Q6AFQ2;Q73VX0;Q820Y9;Q83G94
CLS007521	Q5L4W3	85.32	969	5	Q821L5	plddt_then_length	Q256C7;Q3KKZ3;Q5L4W3;Q821L5;Q9Z765
CLS007522	Q6MDI2	93.39	697	3	Q822C1	plddt_then_length	Q5L5B4;Q6MDI2;Q822C1
CLS007523	Q5L5M3	95.46	551	3	Q822N0	plddt_then_length	Q255A6;Q5L5M3;Q822N0
CLS007524	Q254T8	89.42	512	3	Q822V6	plddt_then_length	Q254T8;Q822V6;Q8D1V0
CLS007525	Q9PJT8	93.69	563	4	Q824H4	plddt_then_length	Q253D1;Q5L6U4;Q824H4;Q9PJT8
CLS007526	Q824Q5	92.11	541	1	Q824Q5	plddt_then_length	Q824Q5
CLS007527	Q825Q8	97.04	592	1	Q825Q8	plddt_then_length	Q825Q8
CLS007528	Q826C5	94.40	625	1	Q826C5	plddt_then_length	Q826C5
CLS007529	Q47N66	91.59	889	4	Q827S4	plddt_then_length	Q47N66;Q827S4;Q8XJH6;Q9XDM3
CLS007530	Q6A9J8	82.27	672	3	Q829W8	plddt_then_length	Q6A9J8;Q829W8;Q9Z512
CLS007531	Q82AN2	95.35	513	1	Q82AN2	plddt_then_length	Q82AN2
CLS007532	Q8NR12	87.69	524	2	Q82CM5	plddt_then_length	Q82CM5;Q8NR12
CLS007533	Q47TB0	94.78	576	3	Q82E68	plddt_then_length	Q2J9H6;Q47TB0;Q82E68
CLS007534	Q82EU4	86.56	548	2	Q82EU4	plddt_then_length	Q82EU4;Q9X8S2
CLS007535	Q82FW4	93.92	752	5	Q82FW4	plddt_then_length	Q2J4M9;Q4JXF0;Q82FW4;Q8FMM3;Q9RKK5
CLS007536	Q82GV2	91.23	861	2	Q82GV2	plddt_then_length	Q82GV2;Q9KZZ7
CLS007537	Q82IS8	86.22	998	1	Q82IS8	plddt_then_length	Q82IS8
CLS007538	Q82JD2	90.17	696	2	Q82JD2	plddt_then_length	Q726S7;Q82JD2
CLS007539	Q82KC4	88.16	508	4	Q82KC4	plddt_then_length	Q2J771;Q49842;Q73W15;Q82KC4
CLS007540	Q82KE2	85.31	964	1	Q82KE2	plddt_then_length	Q82KE2
CLS007541	Q82NR8	95.06	904	1	Q82NR8	plddt_then_length	Q82NR8
CLS007542	Q82PP4	95.95	1030	1	Q82PP4	plddt_then_length	Q82PP4
CLS007543	Q82SI5	92.59	655	7	Q82SI5	plddt_then_length	Q39EK2;Q3JH62;Q46Z41;Q62AD1;Q82SI5;Q8XY11;Q9CMW1
CLS007544	Q5WVP6	90.63	846	3	Q82U08	plddt_then_length	Q5WVP6;Q5X4B2;Q82U08
CLS007545	Q82VV6	94.02	788	1	Q82VV6	plddt_then_length	Q82VV6
CLS007546	Q82WS3	89.60	933	1	Q82WS3	plddt_then_length	Q82WS3
CLS007547	Q8XK20	90.55	568	7	Q832R5	plddt_then_length	Q6G5Z1;Q74I62;Q7A342;Q832R5;Q8NUH8;Q8XK20;Q99QV7
CLS007548	Q833V7	79.40	510	1	Q833V7	plddt_then_length	Q833V7
CLS007549	Q8RAH4	91.04	878	8	Q835J8	plddt_then_length	Q65GS5;Q7NBY8;Q835J8;Q8RAH4;Q92BK9;Q9JTG4;Q9JYG6;Q9KDE6
CLS007550	Q2G2D0	82.97	705	5	Q835U8	plddt_then_length	Q2G2D0;Q38W81;Q6GHG6;Q835U8;Q88VK7
CLS007551	Q1G825	96.71	565	3	Q835Z6	plddt_then_length	Q1G825;Q835Z6;Q8XKX4
CLS007552	Q836J9	89.09	1196	1	Q836J9	plddt_then_length	Q836J9
CLS007553	Q838A4	95.54	508	1	Q838A4	plddt_then_length	Q838A4
CLS007554	Q838J9	95.71	577	2	Q838J9	plddt_then_length	Q838J9;Q8CZD8
CLS007555	Q839Z1	88.23	642	1	Q839Z1	plddt_then_length	Q839Z1
CLS007556	Q83A19	93.99	517	1	Q83A19	plddt_then_length	Q83A19
CLS007557	Q83AC6	84.97	870	1	Q83AC6	plddt_then_length	Q83AC6
CLS007558	Q83B24	95.09	546	2	Q83B24	plddt_then_length	Q1QVN7;Q83B24
CLS007559	Q83BS1	76.37	803	1	Q83BS1	plddt_then_length	Q83BS1
CLS007560	Q83CQ6	90.72	865	2	Q83CQ6	plddt_then_length	Q7NXM2;Q83CQ6
CLS007561	Q47JR8	89.25	585	2	Q83D84	plddt_then_length	Q47JR8;Q83D84
CLS007562	Q83D91	94.51	547	1	Q83D91	plddt_then_length	Q83D91
CLS007563	Q83DD0	93.17	920	1	Q83DD0	plddt_then_length	Q83DD0
CLS007564	Q83F06	86.31	913	2	Q83F06	plddt_then_length	Q1GZ36;Q83F06
CLS007565	Q83FA5	40.59	710	1	Q83FA5	plddt_then_length	Q83FA5
CLS007566	Q83FV7	80.41	666	1	Q83FV7	plddt_then_length	Q83FV7
CLS007567	Q83GS8	80.27	962	1	Q83GS8	plddt_then_length	Q83GS8
CLS007568	Q73ZQ6	96.62	941	3	Q83GV1	plddt_then_length	Q6A9R8;Q73ZQ6;Q83GV1
CLS007569	Q83HI1	90.89	601	1	Q83HI1	plddt_then_length	Q83HI1
CLS007570	Q83GN3	89.39	509	2	Q83HJ9	plddt_then_length	Q83GN3;Q83HJ9
CLS007571	Q83HT0	91.77	550	1	Q83HT0	plddt_then_length	Q83HT0
CLS007572	Q83HV5	91.37	806	2	Q83HV5	plddt_then_length	Q83GC6;Q83HV5
CLS007573	Q83HX4	84.64	628	2	Q83HX4	plddt_then_length	Q83G99;Q83HX4
CLS007574	Q83MI4	84.22	741	1	Q83MI4	plddt_then_length	Q83MI4
CLS007575	Q83MY6	83.71	607	1	Q83MY6	plddt_then_length	Q83MY6
CLS007576	Q83N78	87.63	699	1	Q83N78	plddt_then_length	Q83N78
CLS007577	Q83NE5	79.43	601	1	Q83NE5	plddt_then_length	Q83NE5
CLS007578	Q83QC3	93.65	962	3	Q83QC3	plddt_then_length	Q83QC3;Q8CVS2;Q8ZMB5
CLS007579	Q83QD9	90.73	599	7	Q83QD9	plddt_then_length	Q1CLS8;Q3YY94;Q5NRM1;Q5PEH7;Q83QD9;Q8FEI7;Q8X7U1
CLS007580	Q8FFG4	93.67	714	7	Q83QQ0	plddt_then_length	Q1R972;Q31YB7;Q32DJ4;Q3YZM2;Q57LW6;Q83QQ0;Q8FFG4
CLS007581	Q8PEQ6	92.95	533	11	Q83R85	plddt_then_length	Q48BK0;Q4ZL60;Q5H6C7;Q83R85;Q87TX5;Q8CW34;Q8PEQ6;Q8X9V1;Q8XUX6;Q8Z765;Q8ZPB3
CLS007582	Q83RF3	93.78	759	1	Q83RF3	plddt_then_length	Q83RF3
CLS007583	Q83RN5	97.00	512	1	Q83RN5	plddt_then_length	Q83RN5
CLS007584	Q8Z814	66.22	1343	2	Q83S00	plddt_then_length	Q83S00;Q8Z814
CLS007585	Q8X6L0	97.32	550	9	Q83S05	plddt_then_length	Q1CAA5;Q1CGD1;Q66CL7;Q83S05;Q8EH67;Q8FJE0;Q8X6L0;Q8ZGE1;Q8ZQE8
CLS007586	Q841V6	92.05	566	1	Q841V6	plddt_then_length	Q841V6
CLS007587	Q84BP4	88.19	706	2	Q84BP4	plddt_then_length	Q6GKM5;Q84BP4
CLS007588	Q83U59	85.42	545	2	Q84D00	plddt_then_length	Q83U59;Q84D00
CLS007589	Q84H44	96.53	598	1	Q84H44	plddt_then_length	Q84H44
CLS007590	Q84HC5	91.96	558	1	Q84HC5	plddt_then_length	Q84HC5
CLS007591	Q84J39	67.25	517	1	Q84J39	plddt_then_length	Q84J39
CLS007592	Q84J46	80.01	540	1	Q84J46	plddt_then_length	Q84J46
CLS007593	Q84JE8	71.41	694	1	Q84JE8	plddt_then_length	Q84JE8
CLS007594	Q84JF4	74.33	609	1	Q84JF4	plddt_then_length	Q84JF4
CLS007595	Q84JL5	78.61	633	1	Q84JL5	plddt_then_length	Q84JL5
CLS007596	Q84JQ4	79.85	647	1	Q84JQ4	plddt_then_length	Q84JQ4
CLS007597	Q84JR9	71.70	682	1	Q84JR9	plddt_then_length	Q84JR9
CLS007598	Q84JU6	67.58	927	1	Q84JU6	plddt_then_length	Q84JU6
CLS007599	Q84K25	81.72	569	1	Q84K25	plddt_then_length	Q84K25
CLS007600	Q84KJ5	89.34	569	2	Q84KJ5	plddt_then_length	Q651U1;Q84KJ5
CLS007601	Q84LA1	89.62	596	3	Q84LA1	plddt_then_length	Q70AT7;Q84LA1;Q84PN8
CLS007602	Q84LB2	87.67	576	1	Q84LB2	plddt_then_length	Q84LB2
CLS007603	Q84LF1	95.55	548	2	Q84LF2	plddt_then_length	Q84LF1;Q84LF2
CLS007604	Q84LK0	80.06	1118	1	Q84LK0	plddt_then_length	Q84LK0
CLS007605	Q84LM4	91.29	764	1	Q84LM4	plddt_then_length	Q84LM4
CLS007606	Q84M24	74.86	1882	1	Q84M24	plddt_then_length	Q84M24
CLS007607	Q84MA3	84.69	763	1	Q84MA3	plddt_then_length	Q84MA3
CLS007608	Q84MA8	85.01	530	1	Q84MA8	plddt_then_length	Q84MA8
CLS007609	Q84N38	80.95	549	3	Q84N38	plddt_then_length	Q84N38;Q9LUB7;Q9S736
CLS007610	Q84N49	60.09	674	1	Q84N49	plddt_then_length	Q84N49
CLS007611	Q84N64	77.14	777	1	Q84N64	plddt_then_length	Q84N64
CLS007612	Q84NC8	81.42	579	1	Q84NC8	plddt_then_length	Q84NC8
CLS007613	Q84ND9	74.98	1034	1	Q84ND9	plddt_then_length	Q84ND9
CLS007614	Q84P17	92.37	727	1	Q84P17	plddt_then_length	Q84P17
CLS007615	Q84P25	88.55	565	1	Q84P25	plddt_then_length	Q84P25
CLS007616	Q84P52	89.86	520	1	Q84P52	plddt_then_length	Q84P52
CLS007617	Q9STE8	78.79	818	2	Q84Q83	plddt_then_length	Q84Q83;Q9STE8
CLS007618	Q84Q92	69.09	575	1	Q84Q92	plddt_then_length	Q84Q92
CLS007619	Q84QA7	92.14	589	3	Q84QA7	plddt_then_length	Q60EH4;Q6Y9P5;Q84QA7
CLS007620	Q84R21	69.72	653	1	Q84R21	plddt_then_length	Q84R21
CLS007621	Q84R49	88.37	620	1	Q84R49	plddt_then_length	Q84R49
CLS007622	Q84RR2	77.45	593	1	Q84RR2	plddt_then_length	Q84RR2
CLS007623	Q6ZF85	85.52	868	2	Q84S18	plddt_then_length	Q6ZF85;Q84S18
CLS007624	Q84TA3	95.14	611	2	Q84TA3	plddt_then_length	Q84TA3;Q9FY49
CLS007625	Q84TH5	79.67	662	2	Q84TH5	plddt_then_length	Q84TH5;Q93YS4
CLS007626	Q84TJ0	89.43	591	1	Q84TJ0	plddt_then_length	Q84TJ0
CLS007627	Q84TX2	37.61	2097	1	Q84TX2	plddt_then_length	Q84TX2
CLS007628	Q84VG6	86.14	626	1	Q84VG6	plddt_then_length	Q84VG6
CLS007629	Q84VG7	53.38	587	1	Q84VG7	plddt_then_length	Q84VG7
CLS007630	Q84VX4	60.01	777	1	Q84VX4	plddt_then_length	Q84VX4
CLS007631	Q84WB7	86.07	765	1	Q84WB7	plddt_then_length	Q84WB7
CLS007632	Q84WP3	65.41	920	1	Q84WP3	plddt_then_length	Q84WP3
CLS007633	Q84WU4	74.55	712	2	Q84WU4	plddt_then_length	Q84WU4;Q8VYU6
CLS007634	Q84WU6	66.44	585	1	Q84WU6	plddt_then_length	Q84WU6
CLS007635	Q9Y4W6	77.03	797	5	Q84WU8	plddt_then_length	Q84WU8;Q8S2A7;Q920A7;Q9HGM3;Q9Y4W6
CLS007636	Q84WU9	84.16	596	1	Q84WU9	plddt_then_length	Q84WU9
CLS007637	Q84WV0	83.20	598	2	Q84WV0	plddt_then_length	Q84WV0;Q9LM59
CLS007638	Q8SR76	89.91	519	4	Q84WV1	plddt_then_length	Q54TH8;Q84WV1;Q8SR76;Q9LKI7
CLS007639	Q84XU2	90.41	538	1	Q84XU2	plddt_then_length	Q84XU2
CLS007640	Q84ZL0	57.66	1627	1	Q84ZL0	plddt_then_length	Q84ZL0
CLS007641	Q84ZT0	53.81	513	1	Q84ZT0	plddt_then_length	Q84ZT0
CLS007642	Q84ZW8	84.82	590	1	Q84ZW8	plddt_then_length	Q84ZW8
CLS007643	Q851S7	74.27	604	1	Q851S7	plddt_then_length	Q851S7
CLS007644	Q851V5	55.64	1029	1	Q851V5	plddt_then_length	Q851V5
CLS007645	Q851W4	65.32	545	1	Q851W4	plddt_then_length	Q851W4
CLS007646	Q852M1	91.05	1355	2	Q852M1	plddt_then_length	Q852M1;Q852M2
CLS007647	Q852N2	79.28	1192	4	Q852N2	plddt_then_length	Q6EU14;Q7XSA2;Q7Y001;Q852N2
CLS007648	Q85AP4	67.37	508	1	Q85AP4	plddt_then_length	Q85AP4
CLS007649	Q85B66	58.04	1031	1	Q85B66	plddt_then_length	Q85B66
CLS007650	Q85FM9	60.25	1420	1	Q85FM9	plddt_then_length	Q85FM9
CLS007651	Q85G22	91.75	526	1	Q85G22	plddt_then_length	Q85G22
CLS007652	Q85WU2	38.31	2046	1	Q85WU2	plddt_then_length	Q85WU2
CLS007653	Q85X62	58.99	1209	1	Q85X62	plddt_then_length	Q85X62
CLS007654	Q863A0	87.27	752	2	Q863A0	plddt_then_length	Q3SYW2;Q863A0
CLS007655	Q9UBK2	52.19	798	2	Q865B6	plddt_then_length	Q865B6;Q9UBK2
CLS007656	Q865F1	89.19	894	1	Q865F1	plddt_then_length	Q865F1
CLS007657	Q865R1	93.00	512	1	Q865R1	plddt_then_length	Q865R1
CLS007658	Q865S3	69.43	986	1	Q865S3	plddt_then_length	Q865S3
CLS007659	Q866F4	81.64	1610	3	Q866F4	plddt_then_length	Q866F4;Q96PN6;Q9Z286
CLS007660	Q867T7	64.64	604	1	Q867T7	plddt_then_length	Q867T7
CLS007661	Q868N5	84.71	1770	1	Q868N5	plddt_then_length	Q868N5
CLS007662	Q869L4	77.12	793	1	Q869L4	plddt_then_length	Q869L4
CLS007663	Q869Q3	90.59	1160	1	Q869Q3	plddt_then_length	Q869Q3
CLS007664	Q869R1	77.44	555	1	Q869R1	plddt_then_length	Q869R1
CLS007665	Q869R9	49.69	734	1	Q869R9	plddt_then_length	Q869R9
CLS007666	Q869S5	49.92	1671	1	Q869S5	plddt_then_length	Q869S5
CLS007667	Q869W0	42.91	942	1	Q869W0	plddt_then_length	Q869W0
CLS007668	Q869W9	79.89	2603	1	Q869W9	plddt_then_length	Q869W9
CLS007669	Q869X3	51.35	921	1	Q869X3	plddt_then_length	Q869X3
CLS007670	Q869Z4	91.02	653	1	Q869Z4	plddt_then_length	Q869Z4
CLS007671	Q86A84	76.33	654	1	Q86A84	plddt_then_length	Q86A84
CLS007672	Q86A85	87.24	521	1	Q86A85	plddt_then_length	Q86A85
CLS007673	Q86AE1	66.04	527	1	Q86AE1	plddt_then_length	Q86AE1
CLS007674	Q86AF2	57.19	1212	1	Q86AF2	plddt_then_length	Q86AF2
CLS007675	Q86AF3	58.50	509	1	Q86AF3	plddt_then_length	Q86AF3
CLS007676	Q86AH1	54.27	640	1	Q86AH1	plddt_then_length	Q86AH1
CLS007677	Q86AH4	53.28	629	1	Q86AH4	plddt_then_length	Q86AH4
CLS007678	Q86AQ5	85.63	1450	1	Q86AQ5	plddt_then_length	Q86AQ5
CLS007679	Q86AS5	93.24	760	1	Q86AS5	plddt_then_length	Q86AS5
CLS007680	Q86AV6	88.81	512	1	Q86AV6	plddt_then_length	Q86AV6
CLS007681	Q86AV9	79.01	948	1	Q86AV9	plddt_then_length	Q86AV9
CLS007682	Q9V461	78.38	817	8	Q86B14	plddt_then_length	Q28CM3;Q498J7;Q5FWY4;Q61J08;Q7Q0Q1;Q7ZY18;Q86B14;Q9V461
CLS007683	Q86B61	84.84	670	1	Q86B61	plddt_then_length	Q86B61
CLS007684	Q86B79	72.08	599	1	Q86B79	plddt_then_length	Q86B79
CLS007685	Q86B87	57.99	610	1	Q86B87	plddt_then_length	Q86B87
CLS007686	Q86B91	46.78	1513	1	Q86B91	plddt_then_length	Q86B91
CLS007687	Q86C56	78.43	702	1	Q86C56	plddt_then_length	Q86C56
CLS007688	Q86CR9	83.42	707	1	Q86CR9	plddt_then_length	Q86CR9
CLS007689	Q86CS2	65.88	668	1	Q86CS2	plddt_then_length	Q86CS2
CLS007690	Q86CZ2	54.65	1213	1	Q86CZ2	plddt_then_length	Q86CZ2
CLS007691	Q86DA5	71.56	981	1	Q86DA5	plddt_then_length	Q86DA5
CLS007692	Q86G50	67.49	543	1	Q86G50	plddt_then_length	Q86G50
CLS007693	Q86H13	66.08	1039	1	Q86H13	plddt_then_length	Q86H13
CLS007694	Q86H43	85.12	932	1	Q86H43	plddt_then_length	Q86H43
CLS007695	Q86HG9	63.82	1024	1	Q86HG9	plddt_then_length	Q86HG9
CLS007696	Q8T685	86.15	638	2	Q86HQ2	plddt_then_length	Q86HQ2;Q8T685
CLS007697	Q86HQ3	61.20	1053	1	Q86HQ3	plddt_then_length	Q86HQ3
CLS007698	Q86HT1	83.57	730	1	Q86HT1	plddt_then_length	Q86HT1
CLS007699	Q86HW6	56.49	798	1	Q86HW6	plddt_then_length	Q86HW6
CLS007700	Q86I06	49.80	1123	1	Q86I06	plddt_then_length	Q86I06
CLS007701	Q86I31	53.54	885	1	Q86I31	plddt_then_length	Q86I31
CLS007702	Q86I32	52.62	542	1	Q86I32	plddt_then_length	Q86I32
CLS007703	Q86I79	89.09	522	1	Q86I79	plddt_then_length	Q86I79
CLS007704	Q86IG2	74.25	1107	1	Q86IG2	plddt_then_length	Q86IG2
CLS007705	Q86IG9	61.65	566	1	Q86IG9	plddt_then_length	Q86IG9
CLS007706	Q86IW5	61.20	704	1	Q86IW5	plddt_then_length	Q86IW5
CLS007707	Q86IZ9	70.13	668	1	Q86IZ9	plddt_then_length	Q86IZ9
CLS007708	Q86K40	47.48	1123	1	Q86K40	plddt_then_length	Q86K40
CLS007709	Q86K80	77.90	527	1	Q86K80	plddt_then_length	Q86K80
CLS007710	Q86K84	45.71	653	1	Q86K84	plddt_then_length	Q86K84
CLS007711	Q86KF9	80.36	624	1	Q86KF9	plddt_then_length	Q86KF9
CLS007712	Q86KS1	58.05	920	1	Q86KS1	plddt_then_length	Q86KS1
CLS007713	Q86KU2	90.49	1072	1	Q86KU2	plddt_then_length	Q86KU2
CLS007714	Q86KX6	78.94	595	1	Q86KX6	plddt_then_length	Q86KX6
CLS007715	Q86L54	74.96	530	1	Q86L54	plddt_then_length	Q86L54
CLS007716	Q86MA2	80.25	743	1	Q86MA2	plddt_then_length	Q86MA2
CLS007717	Q86MA7	50.20	862	1	Q86MA7	plddt_then_length	Q86MA7
CLS007718	Q86MD3	56.94	509	1	Q86MD3	plddt_then_length	Q86MD3
CLS007719	Q86ME2	70.43	589	1	Q86ME2	plddt_then_length	Q86ME2
CLS007720	Q86NP2	48.29	1251	1	Q86NP2	plddt_then_length	Q86NP2
CLS007721	Q86PM4	68.24	816	1	Q86PM4	plddt_then_length	Q86PM4
CLS007722	Q86QW7	81.20	781	1	Q86QW7	plddt_then_length	Q86QW7
CLS007723	Q5R7M3	74.72	522	3	Q86SJ2	plddt_then_length	Q5R7M3;Q80ZD9;Q86SJ2
CLS007724	Q86SJ6	64.86	1040	3	Q86SJ6	plddt_then_length	Q61495;Q6W3B0;Q86SJ6
CLS007725	Q86SQ6	63.98	560	1	Q86SQ6	plddt_then_length	Q86SQ6
CLS007726	Q3TC46	60.98	770	2	Q86TB9	plddt_then_length	Q3TC46;Q86TB9
CLS007727	Q86TG7	67.73	708	1	Q86TG7	plddt_then_length	Q86TG7
CLS007728	Q9NXZ2	79.78	648	2	Q86TM3	plddt_then_length	Q86TM3;Q9NXZ2
CLS007729	Q86TM6	71.83	617	1	Q86TM6	plddt_then_length	Q86TM6
CLS007730	Q86U10	89.66	573	1	Q86U10	plddt_then_length	Q86U10
CLS007731	Q8BMC4	86.27	636	2	Q86U38	plddt_then_length	Q86U38;Q8BMC4
CLS007732	Q2HVD6	77.28	614	2	Q86U44	plddt_then_length	Q2HVD6;Q86U44
CLS007733	Q86UD5	78.93	537	2	Q86UD5	plddt_then_length	Q5BKR2;Q86UD5
CLS007734	Q86UE4	51.61	582	1	Q86UE4	plddt_then_length	Q86UE4
CLS007735	Q86UE6	78.71	522	1	Q86UE6	plddt_then_length	Q86UE6
CLS007736	Q86UK0	67.92	2595	1	Q86UK0	plddt_then_length	Q86UK0
CLS007737	Q86UK5	72.87	1308	1	Q86UK5	plddt_then_length	Q86UK5
CLS007738	Q9WVQ1	64.90	1275	2	Q86UL8	plddt_then_length	Q86UL8;Q9WVQ1
CLS007739	Q90762	79.22	790	6	Q86UP0	plddt_then_length	Q86UP0;Q90762;Q90763;Q9ULB4;Q9ULB5;Q9Z0M3
CLS007740	Q86UP6	79.22	607	1	Q86UP6	plddt_then_length	Q86UP6
CLS007741	Q86US8	64.24	1419	1	Q86US8	plddt_then_length	Q86US8
CLS007742	Q86UV5	80.91	1035	2	Q86UV5	plddt_then_length	Q3V0C5;Q86UV5
CLS007743	Q86UX2	80.18	942	2	Q86UX2	plddt_then_length	Q86UX2;Q8BJD1
CLS007744	Q86UY8	86.24	548	1	Q86UY8	plddt_then_length	Q86UY8
CLS007745	Q8BID6	54.80	600	2	Q86UZ6	plddt_then_length	Q86UZ6;Q8BID6
CLS007746	Q5RCM2	59.46	904	2	Q86V20	plddt_then_length	Q5RCM2;Q86V20
CLS007747	Q6ZR52	79.52	646	4	Q86V71	plddt_then_length	Q6ZR52;Q86V71;Q8TB69;Q9Y2Q1
CLS007748	Q86V87	79.78	743	2	Q86V87	plddt_then_length	Q80YR2;Q86V87
CLS007749	Q86V97	82.06	674	2	Q86V97	plddt_then_length	Q86V97;Q8WVZ9
CLS007750	Q86VF2	78.02	1251	1	Q86VF2	plddt_then_length	Q86VF2
CLS007751	Q86VH2	69.22	1401	2	Q86VH2	plddt_then_length	Q7M6Z5;Q86VH2
CLS007752	Q86VH5	74.03	581	3	Q86VH5	plddt_then_length	Q86VH4;Q86VH5;Q9BGP6
CLS007753	Q86VI1	87.08	746	1	Q86VI1	plddt_then_length	Q86VI1
CLS007754	Q5I0E9	86.51	566	4	Q86VL8	plddt_then_length	Q5I0E9;Q5R7E4;Q86VL8;Q8K0H1
CLS007755	Q86VP6	86.49	1230	4	Q86VP6	plddt_then_length	Q5R6L5;Q86VP6;Q9R0L4;Q9VKY2
CLS007756	Q86VR7	69.83	867	1	Q86VR7	plddt_then_length	Q86VR7
CLS007757	Q86W26	73.56	655	1	Q86W26	plddt_then_length	Q86W26
CLS007758	Q86W28	80.47	1048	1	Q86W28	plddt_then_length	Q86W28
CLS007759	Q5ZIA0	79.08	558	3	Q86W50	plddt_then_length	Q5ZIA0;Q86W50;Q9CQG2
CLS007760	Q86WG5	73.16	1849	1	Q86WG5	plddt_then_length	Q86WG5
CLS007761	Q86WJ1	72.46	897	1	Q86WJ1	plddt_then_length	Q86WJ1
CLS007762	Q86WN1	76.67	690	1	Q86WN1	plddt_then_length	Q86WN1
CLS007763	A2AKQ8	93.52	664	7	Q86WT1	plddt_then_length	A2AKQ8;A6H739;Q4QQS2;Q86WT1;Q8N4P2;Q99J38;Q9CY00
CLS007764	Q86WZ0	65.16	1026	1	Q86WZ0	plddt_then_length	Q86WZ0
CLS007765	Q86XD8	53.55	727	1	Q86XD8	plddt_then_length	Q86XD8
CLS007766	Q86XN7	44.68	944	1	Q86XN7	plddt_then_length	Q86XN7
CLS007767	Q6ZN04	61.59	569	4	Q86XN8	plddt_then_length	Q3UE17;Q69Z36;Q6ZN04;Q86XN8
